dataset,evidence_class,output_budget,ignore_eos,restart,run,label,source_request_id,family,prompt_tokens,ttft_s,e2e_s,processor_s
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_024,long_text_plus_image,665,0.8079298380762339,0.8079298380762339,0.013916023075580597
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_025,long_text_plus_image,682,0.7939821151085198,0.7939821151085198,0.012587903067469597
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_028,long_text_plus_image,670,0.7813619179651141,0.7813619179651141,0.013285499997437
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b64:text_image_split:w0,longtext_029,long_text_plus_image,674,0.7680460279807448,0.7680460279807448,0.013907347805798054
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:single_multi_split:w6,multi_001,two_real_images,508,0.6206013672053814,0.6206013672053814,0.0837317113764584
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:single_multi_split:w6,multi_002,two_real_images,508,0.5368474191054702,0.5368474191054702,0.03834936721250415
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:single_multi_split:w6,multi_003,two_real_images,466,0.4984790198504925,0.4984790198504925,0.03090326488018036
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:single_multi_split:w6,multi_004,two_real_images,459,0.4675573739223182,0.4675573739223182,0.02953507611528039
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:single_multi_split:w6,multi_006,two_real_images,521,0.43800381012260914,0.43800381012260914,0.03428697818890214
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:single_multi_split:w6,multi_008,two_real_images,475,0.7456214656122029,0.7456214656122029,0.03231728170067072
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:single_multi_split:w6,multi_009,two_real_images,517,0.7132837707176805,0.7132837707176805,0.03734045196324587
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:single_multi_split:w6,multi_012,two_real_images,443,0.6759242257103324,0.6759242257103324,0.027266852091997862
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w4,multi_001,two_real_images,508,0.5310938130132854,0.5310938130132854,0.08224169025197625
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w4,multi_002,two_real_images,508,0.8752142400480807,0.8752142400480807,0.03988772910088301
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w4,multi_003,two_real_images,466,0.8353083729743958,0.8353083729743958,0.031230193097144365
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w4,multi_004,two_real_images,459,0.8040602370165288,0.8040602370165288,0.028887085150927305
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w4,multi_006,two_real_images,521,0.7751545449718833,0.7751545449718833,0.03405113983899355
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w4,multi_008,two_real_images,475,0.7410854618065059,0.7410854618065059,0.031534906942397356
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b16:text_image_split:w4,multi_009,two_real_images,517,0.7095315847545862,0.7095315847545862,0.038225854746997356
