topology,max_num_batched_tokens,condition,concurrency,n,scheduled_tokens_median,arrival_skew_ms_median,arrival_skew_ratio_median,ep_wait_proxy_ms_median,stall_fraction_median,rank_ratio_median,expert_ratio_median,dispatch_ratio_median,combine_ratio_median,layers
B,4096,vision_balanced,16,96,1252.5,0.770255982875824,0.6495269250181919,0.096687912940979,0.0335194698982358,1.1632302405498283,1.1535465957317936,1.5274977756940795,1.5036676815257026,48
B,4096,vision_heterogeneous,2,48,1976.0,0.9833600074052811,0.7308132913083851,0.043695926666259766,0.014512186153894727,1.1930955993930197,1.1433721538137886,1.5765758733680615,1.498490378975177,48
B,4096,vision_heterogeneous,4,48,1050.0,0.9912800043821335,0.7230685587228807,0.026927947998046875,0.009380201807573759,1.1696798083206272,1.158323132932393,1.6164342243379997,1.5388342807555802,48
B,4096,vision_heterogeneous,8,96,1050.0,0.9659040421247482,0.7161087602824612,0.026720046997070312,0.009108673869465123,1.175463483666307,1.141405200301053,1.5793920222109956,1.4980085994212642,48
B,4096,vision_heterogeneous,16,144,1369.5,0.9494399428367615,0.7483704308225492,0.024816036224365234,0.008508841462049475,1.183899397572745,1.1631328640973337,1.5771542019861462,1.4606332881802888,48
B,8192,long_balanced,2,48,4218.5,0.860415980219841,0.9193794970476776,0.03841602802276611,0.013105128453939553,1.132657897855196,1.0936040012788086,1.3721371158274605,1.1730065607208602,48
B,8192,long_balanced,4,48,4218.5,0.41492798924446106,0.44343202822885003,0.03172802925109863,0.008109636157502794,1.1326893445537514,1.0899517522975097,1.263943249578774,1.2558815540513,48
B,8192,long_balanced,8,96,4218.5,0.41835200786590576,0.44502512801299754,0.028911948204040527,0.00802911525744725,1.1326893445537514,1.0746428615487174,1.266648152936328,1.2009281638130167,48
B,8192,long_heterogeneous,2,48,4218.5,0.8583680093288422,0.9189684133486657,0.030640006065368652,0.010403160139477728,1.1320357862305959,1.096036348047011,1.3288468349935951,1.1807273941970173,48
B,8192,long_heterogeneous,4,48,3203.0,0.41465598344802856,0.44438921262471326,0.030591964721679688,0.008631238308278513,1.1162500842147813,1.0752064078179857,1.1326431324579191,1.1845923448400086,48
B,8192,long_heterogeneous,8,96,3203.0,0.4124639928340912,0.4418378967351534,0.0316319465637207,0.008759483691451941,1.124770360255443,1.0729135733230464,1.2495289001708785,1.2063786756046317,48
B,8192,text_balanced,2,48,188.0,0.14473599195480347,0.16563039589918477,0.05865603685379028,0.03165811665396779,1.2943121693121693,1.0476916517264396,1.2365280777914363,1.1363431414849197,48
B,8192,text_balanced,4,48,262.5,0.03687998652458191,0.04318701408693379,0.04364800453186035,0.022018772431606652,1.2719072164948453,1.0295159049862614,1.089703897676783,1.18801927733199,48
B,8192,text_balanced,8,96,262.5,0.05004796385765076,0.07413445479279415,0.02532804012298584,0.013430568370127908,1.2483252483252483,1.0526751734055215,1.0936884889829108,1.200038233997236,48
B,8192,text_balanced,16,96,1253.0,0.1663680076599121,0.3538851175365668,0.025056004524230957,0.011446274200117991,1.2576216533124878,1.0764604918795384,1.1824068573596596,1.253663549225626,48
B,8192,text_heterogeneous,2,48,1976.5,0.15611201524734497,0.24115170451379056,0.015183866024017334,0.00797904166325432,1.2406447534766119,1.0680371101198063,1.187166177937833,1.192076020274012,48
B,8192,text_heterogeneous,4,48,1050.5,0.07104000449180603,0.11719674970224725,0.012063920497894287,0.006423429400372591,1.2495100174216027,1.06257516237051,1.101121880837789,1.191386862470424,48
