wave,layer,request_id,pair_budget_fraction,strategy,available_pairs,removed_assignments,actual_removed_fraction,max_rank_load_reduction,critical_pair_fraction,pair_cosine_median
10,16,quad_repeated,1.0,REDUNDANCY_ONLY,445,445,0.06850369458128079,0.07312440645773977,0.18876404494382024,0.9456295371055603
10,16,quad_repeated,1.0,CRITICAL_RANK_AWARE,445,445,0.06850369458128079,0.07312440645773977,0.18876404494382024,0.9456295371055603
10,24,quad_repeated,0.25,RANDOM_MATCHED,3,1,0.0001539408866995074,0.0,0.0,0.9296649694442749
10,24,quad_repeated,0.25,REDUNDANCY_ONLY,3,1,0.0001539408866995074,0.0,0.0,0.9296649694442749
10,24,quad_repeated,0.25,CRITICAL_RANK_AWARE,3,1,0.0001539408866995074,0.0,0.0,0.9296649694442749
10,24,quad_repeated,0.5,RANDOM_MATCHED,3,2,0.0003078817733990148,0.0,0.0,0.9296649694442749
10,24,quad_repeated,0.5,REDUNDANCY_ONLY,3,2,0.0003078817733990148,0.0,0.0,0.9296649694442749
10,24,quad_repeated,0.5,CRITICAL_RANK_AWARE,3,2,0.0003078817733990148,0.0,0.0,0.9296649694442749
10,24,quad_repeated,0.75,RANDOM_MATCHED,3,3,0.00046182266009852215,0.0,0.0,0.9296649694442749
10,24,quad_repeated,0.75,REDUNDANCY_ONLY,3,3,0.00046182266009852215,0.0,0.0,0.9296649694442749
10,24,quad_repeated,0.75,CRITICAL_RANK_AWARE,3,3,0.00046182266009852215,0.0,0.0,0.9296649694442749
10,24,quad_repeated,1.0,RANDOM_MATCHED,3,3,0.00046182266009852215,0.0,0.0,0.9296649694442749
10,24,quad_repeated,1.0,REDUNDANCY_ONLY,3,3,0.00046182266009852215,0.0,0.0,0.9296649694442749
10,24,quad_repeated,1.0,CRITICAL_RANK_AWARE,3,3,0.00046182266009852215,0.0,0.0,0.9296649694442749
10,40,quad_repeated,0.25,RANDOM_MATCHED,34,9,0.0013854679802955665,0.0,0.0,0.918613612651825
