call,request_id,invocation,phase,normalized_progress,ready_requests,decision_live_rows,physical_m,topk_pairs,remote_pairs,remote_fraction,rank_load,rank_load_cv,rank_fanout_mean,active_experts,median_m_e,tiny_le4_fraction,router_ms_observer,dispatch_ms_observer,expert_ms_observer,combine_ms_observer,shared_ms_observer,gather_ms_observer
72,measured_0,204,middle,0.48828125,16,262,512,4096,3244,0.7919921875,"[862, 702, 1657, 875]",0.36304556471849037,2.953125,179,9,0.329608938547486,6.402080059051514,0.7982079982757568,0.9076160192489624,0.1931840032339096,0.032255999743938446,0.04569600149989128
73,measured_0,205,middle,0.494140625,16,259,512,4096,3080,0.751953125,"[865, 685, 1718, 828]",0.3967578865329876,2.958984375,185,8,0.3567567567567568,6.099103927612305,0.3666880130767822,0.9196159839630127,0.1536320000886917,0.03232000023126602,0.04623999819159508
74,measured_0,206,middle,0.5375,15,222,480,3840,2908,0.7572916666666667,"[798, 636, 1596, 810]",0.38913465696337046,2.9145835041999817,178,9.0,0.3651685393258427,6.09932804107666,1.0504319667816162,0.940064013004303,0.19596800208091736,0.03248000144958496,0.04540799930691719
75,measured_0,207,middle,0.5791666666666666,15,202,480,3840,2915,0.7591145833333334,"[829, 635, 1534, 842]",0.35561361898406596,2.966666877269745,181,9,0.36464088397790057,5.7763519287109375,0.4437119960784912,0.9189760088920593,0.19305600225925446,0.032287999987602234,0.04694399982690811
76,measured_0,208,middle,0.5245535714285714,14,213,448,3584,2704,0.7544642857142857,"[769, 573, 1534, 708]",0.4186554861641543,2.9732143878936768,177,8,0.3615819209039548,5.473696231842041,0.5108479857444763,0.8952640295028687,0.17955200374126434,0.033824000507593155,0.046271998435258865
77,measured_0,209,middle,0.5178571428571428,14,216,448,3584,2703,0.7541852678571429,"[806, 587, 1537, 654]",0.4224245582042353,2.9620537757873535,174,9.0,0.3850574712643678,5.54582405090332,0.5760959982872009,0.9890879988670349,0.2921920120716095,0.03283200040459633,0.045152001082897186
78,measured_0,210,middle,0.5985576923076923,13,167,416,3328,2591,0.7785456730769231,"[689, 568, 1425, 646]",0.4147897313321113,2.9735578298568726,171,7,0.36257309941520466,5.080128192901611,0.72297602891922,0.8705919981002808,0.1594880074262619,0.03152000159025192,0.04479999840259552
79,measured_0,211,middle,0.7403846153846154,13,108,416,3328,2615,0.7857572115384616,"[758, 573, 1330, 667]",0.35440735472922774,3.02403861284256,178,8.5,0.3595505617977528,5.079808235168457,0.4933120012283325,0.9199039936065674,0.22908799350261688,0.031647998839616776,0.04464000090956688
80,measured_0,212,middle,0.6171875,12,147,384,3072,2469,0.8037109375,"[646, 574, 1204, 648]",0.33005693657338625,3.028645873069763,172,9.0,0.36627906976744184,4.711455821990967,0.41833600401878357,0.8467839956283569,0.15971200168132782,0.0315839983522892,0.027424000203609467
81,measured_0,213,middle,0.5511363636363636,11,158,352,2816,2125,0.7546164772727273,"[554, 505, 1079, 678]",0.3203132873906871,3.005681812763214,167,7,0.41317365269461076,4.400415897369385,0.4548799991607666,0.81004798412323,0.11091200262308121,0.031039999797940254,0.026688000187277794
82,measured_0,214,middle,0.5909090909090908,11,144,352,2816,2254,0.8004261363636364,"[596, 518, 1060, 642]",0.29866724665621874,3.071022868156433,175,7,0.37714285714285717,4.427072048187256,0.42825600504875183,0.907263994216919,0.20870399475097656,0.031039999797940254,0.028031999245285988
83,measured_0,215,middle,0.521875,10,153,320,2560,1922,0.75078125,"[501, 459, 995, 605]",0.3308406964178531,3.043750047683716,161,7,0.391304347826087,4.034815788269043,0.461760014295578,0.8339840173721313,0.1518400013446808,0.031328000128269196,0.026048000901937485
