M,fast_active_experts,fast_fanout,fast_median_ms,fast_rank_imbalance,fast_total_assignments,layer,n,p50_ms,p95_ms,phase,slow_active_experts,slow_fanout,slow_median_ms,slow_rank_imbalance,slow_total_assignments,source,tail_gap_mean_pct,tail_gap_pct
1,8.0,2.5,0.8734719753265381,1.0395497020269087,8.0,32,3662,0.9110880196094513,2.356881523132324,decode,8.0,2.5,2.6041280031204224,1.2717690563936335,8.0,online_trace_long_c8,276.85608521769143,198.13526669186103
1,8.0,2.4817139737991267,0.8719679713249207,1.0387449136343259,8.0,33,3662,0.910368025302887,2.3545904755592346,decode,8.0,2.4918478260869565,2.649168014526367,1.2741079403436597,8.0,online_trace_long_c8,311.7567628795263,203.81483054922575
1,8.0,2.4107532751091703,0.8714080154895782,1.039845573751152,8.0,34,3662,0.9100160002708435,2.359054374694824,decode,8.0,2.4293478260869565,2.601199984550476,1.2890941740149986,8.0,online_trace_long_c8,445.49381458120456,198.505400261561
1,8.0,2.149645002730748,0.8670399785041809,1.0427109841642423,8.0,35,3662,0.9059360027313232,2.357916736602783,decode,8.0,2.1331521739130435,2.4850399494171143,1.276447319664582,8.0,online_trace_long_c8,251.8040738823923,186.611922290186
1,8.0,2.3012015292190062,0.87254399061203,1.0409381839766765,8.0,36,3662,0.910832017660141,2.3615439772605895,decode,8.0,2.3940217391304346,2.5945600271224976,1.2690567303712945,8.0,online_trace_long_c8,300.6373714693894,197.3557843542785
1,8.0,2.19197160021846,0.8698559999465942,1.0416085972588236,8.0,37,3662,0.9075679779052734,2.3471487760543823,decode,8.0,2.203804347826087,2.453935980796814,1.2753176078521071,8.0,online_trace_long_c8,764.1541067678925,182.10830079296517
1,8.0,2.4666848716548335,0.8741440176963806,1.038859272598529,8.0,38,3662,0.9139359891414642,2.3465871572494508,decode,8.0,2.4809782608695654,2.428671956062317,1.257603661497797,8.0,online_trace_long_c8,250.30643837529766,177.83430497651673
1,8.0,2.4710540688148552,0.8715519905090332,1.0393391326808294,8.0,39,3662,0.9090079963207245,2.3662527203559875,decode,8.0,2.472826086956522,2.6155840158462524,1.2715316298604626,8.0,online_trace_long_c8,416.0981154924429,200.10648180799976
1,8.0,2.4683233205898416,0.8706560134887695,1.0395394060650827,8.0,40,3662,0.9106239974498749,2.354750466346741,decode,8.0,2.489130434782609,2.6443519592285156,1.278799419007746,8.0,online_trace_long_c8,298.86652170320286,203.71948487789174
1,8.0,2.4683233205898416,0.8717120289802551,1.0389537718126944,8.0,41,3662,0.9127840101718903,2.3521889090538024,decode,8.0,2.470108695652174,2.6125919818878174,1.2710553942184781,8.0,online_trace_long_c8,255.76514830969444,199.70814845151085
1,8.0,2.5,0.8707519769668579,1.0388804583022662,8.0,42,3662,0.9109599888324738,2.3676368713378904,decode,8.0,2.5,2.647487998008728,1.2710861662435538,8.0,online_trace_long_c8,280.98738444628947,204.04616561754358
1,8.0,2.337336244541485,0.8704959750175476,1.040759051286666,8.0,43,3662,0.9089919924736023,2.355768072605133,decode,8.0,2.4239130434782608,2.5760639905929565,1.2742229691366829,8.0,online_trace_long_c8,1778.9457923020768,195.93060330222303
1,8.0,2.465592572364828,0.872704029083252,1.0392383609551101,8.0,44,3662,0.9097760021686554,2.3499857068061827,decode,8.0,2.494565217391304,2.5970720052719116,1.2790334935788334,8.0,online_trace_long_c8,265.0986440718994,197.58909306263635
1,8.0,2.078329694323144,0.8671039938926697,1.03932469771941,8.0,45,3662,0.9039679765701294,2.332526481151581,decode,8.0,2.089673913043478,2.4354400634765625,1.2866115354271386,8.0,online_trace_long_c8,1671.4165211525635,180.87058537712295
1,8.0,2.313762971054069,0.8729919791221619,1.0407245734356227,8.0,46,3662,0.9118560254573822,2.341278338432312,decode,8.0,2.3342391304347827,2.5079199075698853,1.2560025905055658,8.0,online_trace_long_c8,827.4707631954273,187.2786884124473
