hypothesis,experiment,variant,pair_index,requests,prompt_words,output_tokens_requested,image_count,wave_e2e_ms,sum_request_e2e_ms,request_e2e_p50_ms,request_e2e_p90_ms,request_e2e_p99_ms,ttft_p50_ms,ttft_p99_ms
H38,metadata_step_recurrence,A,445,8,2048,8,0,202.197564,1595.046443,199.4287635,200.67544759999998,201.15033656,199.3723415,201.05585793
H38,metadata_step_recurrence,A,447,8,2048,8,0,206.854362,1637.236494,204.536484,205.5623876,205.93553156,204.484425,205.82226136999998
H38,metadata_step_recurrence,A,448,8,2048,8,0,191.007437,1511.576898,188.980788,189.7048394,190.01700943999998,188.93329849999998,189.92502696
H38,metadata_step_recurrence,A,450,8,2048,8,0,206.668271,1630.6933390000002,203.8996555,205.1001138,205.62427757999998,203.845898,205.52140404
H38,metadata_step_recurrence,A,455,8,2048,8,0,197.233403,1554.839539,194.0462885,196.4211713,197.09038313,193.97169250000002,197.04823001
H38,metadata_step_recurrence,A,456,8,2048,8,0,192.305157,1521.036823,190.158034,190.9190605,191.28690175,190.1118115,191.19210473
H38,metadata_step_recurrence,A,457,8,2048,8,0,192.188635,1521.13445,190.1719185,190.8303349,191.16598819,190.1229195,191.07569966999998
H38,metadata_step_recurrence,A,459,8,2048,8,0,197.150379,1559.697862,194.85143,195.7986284,196.17122174000002,194.79716150000002,196.0683683
H38,metadata_step_recurrence,A,460,8,2048,8,0,191.576728,1515.386362,189.453145,190.21561979999998,190.58444448,189.40412700000002,190.47094492000002
H38,metadata_step_recurrence,A,462,8,2048,8,0,196.173299,1551.862149,194.0059665,194.7847896,195.18593706000001,193.94885,195.09308943
H38,metadata_step_recurrence,A,467,8,2048,8,0,195.566285,1546.355029,193.221462,194.1886033,194.55358813,193.167596,194.44828767
H38,metadata_step_recurrence,A,468,8,2048,8,0,194.106958,1535.687895,191.99755399999998,192.7424239,193.09693939,191.9419705,193.00545993999998
H38,metadata_step_recurrence,A,469,8,2048,8,0,219.614009,1740.2025840000001,217.597056,218.2807364,218.60401964,217.5506925,218.48387115
H38,metadata_step_recurrence,A,471,8,2048,8,0,209.014335,1655.134461,206.945503,207.6863501,208.06865741,206.8950335,207.97543978000002
H38,metadata_step_recurrence,A,472,8,2048,8,0,192.138984,1520.726502,189.999875,190.900202,191.2223021,189.946439,191.10490889
H38,metadata_step_recurrence,A,474,8,2048,8,0,198.405503,1569.8687100000002,195.96795400000002,197.7931662,198.28211172000002,195.894641,198.23912226000002
H38,metadata_step_recurrence,A,479,8,2048,8,0,197.13949,1559.887672,194.8880535,195.77339369999999,196.18309467,194.8341395,196.08773445
H38,metadata_step_recurrence,A,480,8,2048,8,0,193.081566,1528.35294,190.986285,191.899576,192.1706335,190.91015850000002,192.03438876
H38,metadata_step_recurrence,A,481,8,2048,8,0,191.069823,1505.667997,188.1272765,189.5664156,190.05020646,188.0617115,189.95429212000002
H38,metadata_step_recurrence,A,483,8,2048,8,0,197.118518,1559.368095,194.9359775,195.7528893,196.11886953,194.8695485,196.02537809
H38,metadata_step_recurrence,A,484,8,2048,8,0,194.915718,1543.145796,192.790769,193.8346063,194.15666923,192.736645,194.05786387
H38,metadata_step_recurrence,A,486,8,2048,8,0,209.567452,1659.3404209999999,207.44748700000002,208.16081350000002,208.52224135,207.39809050000002,208.43260091000002
H38,metadata_step_recurrence,A,491,8,2048,8,0,196.841366,1557.9764049999999,194.795814,195.4637028,195.84726948000002,194.746448,195.7551291
H38,metadata_step_recurrence,A,492,8,2048,8,0,210.68662,1669.12149,208.7056265,209.3719152,209.67560921999998,208.65808650000002,209.58139612
H38,metadata_step_recurrence,A,493,8,2048,8,0,194.364778,1521.429651,190.2156575,193.7500446,194.06705556,190.170972,193.99750982
H38,metadata_step_recurrence,A,495,8,2048,8,0,197.192613,1560.856817,195.15611,195.85043960000002,196.21867586,195.108596,196.12775301000002
H38,metadata_step_recurrence,A,496,8,2048,8,0,192.424396,1522.663054,190.390806,191.0509466,191.36483906,190.3439495,191.26730661
H38,metadata_step_recurrence,A,498,8,2048,8,0,200.13051,1583.100394,197.7668965,198.7720945,199.15337995,197.71185300000002,199.05418421
H38,metadata_step_recurrence,A,503,8,2048,8,0,196.765031,1556.371701,194.607958,195.3500073,195.74642283,194.5607405,195.65309638000002
H38,metadata_step_recurrence,A,504,8,2048,8,0,192.184842,1521.056025,190.182597,190.8753106,191.20364266,190.1341685,191.10221645000001
H38,metadata_step_recurrence,A,505,8,2048,8,0,193.461307,1531.8922750000002,191.534349,192.1854129,192.49231929,191.48625800000002,192.40472058999998
H38,metadata_step_recurrence,A,507,8,2048,8,0,208.777987,1651.618238,206.47524850000002,207.2757815,207.70374995,206.421105,207.60641557
H38,metadata_step_recurrence,A,508,8,2048,8,0,193.483408,1530.159928,191.16362650000002,192.1354745,192.46776484999998,191.109235,192.36824143
H38,metadata_step_recurrence,A,510,8,2048,8,0,198.022241,1565.760227,195.501646,196.678502,197.04957199999998,195.4524365,196.94787438
H38,metadata_step_recurrence,A,515,8,2048,8,0,196.810359,1562.696291,195.3255255,195.6301828,195.84123658000001,195.2784595,195.74297525
H38,metadata_step_recurrence,A,516,8,2048,8,0,192.178583,1520.470452,190.1002655,190.8221734,191.16038134,190.044829,191.07139132
H38,metadata_step_recurrence,A,517,8,2048,8,0,192.118818,1520.711336,190.1349115,190.8118883,191.13909833,190.088412,191.04827308
H38,metadata_step_recurrence,A,519,8,2048,8,0,197.083348,1559.398894,194.7912325,195.8597533,196.23098772999998,194.7491635,196.13237536
H38,metadata_step_recurrence,A,520,8,2048,8,0,192.008545,1519.082563,189.90399,190.6457773,191.03472103,189.85852549999998,190.94233164
H38,metadata_step_recurrence,A,522,8,2048,8,0,198.134955,1565.706938,195.6062725,196.5758133,196.92462602999998,195.53195449999998,196.78212557999998
H38,metadata_step_recurrence,A,527,8,2048,8,0,197.083261,1558.6267149999999,194.696852,195.8765137,196.27306657,194.654042,196.12421654000002
H38,metadata_step_recurrence,A,528,8,2048,8,0,192.029338,1519.1152299999999,189.9335825,190.65443779999998,191.01191618000001,189.88502599999998,190.91586616
H38,metadata_step_recurrence,A,529,8,2048,8,0,192.217533,1521.3345960000001,190.2054335,190.9045831,191.23317031,190.1569955,191.11619999
H38,metadata_step_recurrence,A,531,8,2048,8,0,197.553965,1562.805102,195.273888,196.2559283,196.59383573,195.197793,196.45892752
H38,metadata_step_recurrence,A,532,8,2048,8,0,191.099975,1506.348184,188.34410450000001,189.5583687,190.02899697,188.286505,189.93128032
H38,metadata_step_recurrence,A,534,8,2048,8,0,195.935232,1549.7828789999999,193.78330449999999,194.5133827,194.89886017,193.7331865,194.80654106
H38,metadata_step_recurrence,A,539,8,2048,8,0,197.395798,1543.762431,193.0467955,196.70511109999998,197.09781971,192.997199,197.03381681
H38,metadata_step_recurrence,A,540,8,2048,8,0,202.196872,1601.411505,199.915781,201.4723542,202.05457121999999,199.8443235,201.99591685
H38,metadata_step_recurrence,A,541,8,2048,8,0,205.514635,1627.826023,203.5237785,204.18967279999998,204.54365468,203.477982,204.45139043
H38,metadata_step_recurrence,A,543,8,2048,8,0,195.511546,1546.64562,193.2342035,194.1744458,194.55638077999998,193.17997450000001,194.46080889
H38,metadata_step_recurrence,A,544,8,2048,8,0,197.47047,1563.704857,195.499999,196.1211999,196.42588869,195.452039,196.32155535
H38,metadata_step_recurrence,A,546,8,2048,8,0,196.210034,1552.50391,193.9452915,194.8869247,195.28757257,193.8934425,195.19887798
H38,metadata_step_recurrence,A,551,8,2048,8,0,196.965485,1558.592552,194.87805350000002,195.5625857,195.95826287,194.8298255,195.86676203
H38,metadata_step_recurrence,A,552,8,2048,8,0,194.375189,1538.0232649999998,192.30937649999998,192.9868002,193.31176302,192.2618395,193.22204637
H38,metadata_step_recurrence,A,553,8,2048,8,0,203.28224,1593.049212,199.190924,202.69267920000001,203.00533182,199.14735050000002,202.93327452
H38,metadata_step_recurrence,A,555,8,2048,8,0,198.262756,1569.3772090000002,196.2229005,196.89693259999999,197.25713636,196.174078,197.16345948
H38,metadata_step_recurrence,A,556,8,2048,8,0,196.766295,1557.951061,194.787651,195.4023611,195.73372031,194.7383775,195.64202521
H38,metadata_step_recurrence,A,558,8,2048,8,0,207.463966,1642.3010080000001,205.288372,206.02873,206.4088531,205.2420865,206.31335695
H38,metadata_step_recurrence,A,563,8,2048,8,0,195.607898,1547.9096900000002,193.520912,194.1945593,194.56369583,193.4722965,194.47042881000002
H38,metadata_step_recurrence,A,564,8,2048,8,0,192.125227,1520.238375,190.0948055,190.7960731,191.11689241,190.0447325,191.02414481999998
H38,metadata_step_recurrence,A,565,8,2048,8,0,192.189564,1521.436163,190.224966,190.8874119,191.20494008999998,190.1758115,191.11357048
H38,metadata_step_recurrence,A,567,8,2048,8,0,195.452632,1545.7808260000002,193.28596,194.0683992,194.45957502,193.2322555,194.36441906000002
H38,metadata_step_recurrence,A,568,8,2048,8,0,192.110322,1520.2288130000002,190.05413750000002,190.74858790000002,191.09675929,190.0054735,191.00279471
H38,metadata_step_recurrence,A,570,8,2048,8,0,197.179015,1559.6583060000003,194.840106,195.90619279999999,196.26152288,194.767684,196.1030045
