Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_24/iter_0/rank_1,PushPop,11008,179610,1,11008.0,11008.0,11008,11008,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_dpep_agrs/layer_36/iter_0/rank_2,PushPop,10912,248116,1,10912.0,10912.0,10912,10912,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_47/iter_0/rank_1,PushPop,9824,179151,1,9824.0,9824.0,9824,9824,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_0/iter_0/rank_1,PushPop,9408,453383,1,9408.0,9408.0,9408,9408,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_0/iter_0/rank_2,PushPop,9152,652806,1,9152.0,9152.0,9152,9152,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_0/iter_0/rank_3,PushPop,9024,651911,1,9024.0,9024.0,9024,9024,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_36/iter_0/rank_0,PushPop,8480,170920,1,8480.0,8480.0,8480,8480,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_36/iter_0/rank_3,PushPop,8032,244421,1,8032.0,8032.0,8032,8032,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_12/iter_0/rank_0,PushPop,8000,193308,1,8000.0,8000.0,8000,8000,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_36/iter_0/rank_1,PushPop,7520,167887,1,7520.0,7520.0,7520,7520,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_24/iter_0/rank_0,PushPop,7424,171998,1,7424.0,7424.0,7424,7424,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_47/iter_0/rank_0,PushPop,7424,176080,1,7424.0,7424.0,7424,7424,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_12/iter_0/rank_1,PushPop,7392,188057,1,7392.0,7392.0,7392,7392,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_24/iter_0/rank_2,PushPop,6944,245144,1,6944.0,6944.0,6944,6944,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_47/iter_0/rank_2,PushPop,6592,247953,1,6592.0,6592.0,6592,6592,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_12/iter_0/rank_3,PushPop,6496,246608,1,6496.0,6496.0,6496,6496,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_36/iter_0/rank_2,PushPop,6464,244349,1,6464.0,6464.0,6464,6464,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_24/iter_0/rank_3,PushPop,6368,245564,1,6368.0,6368.0,6368,6368,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_47/iter_0/rank_3,PushPop,6208,244435,1,6208.0,6208.0,6208,6208,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_12/iter_0/rank_2,PushPop,6080,246895,1,6080.0,6080.0,6080,6080,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/router_projection/layer_24/iter_0/rank_1,PushPop,5888,68500,1,5888.0,5888.0,5888,5888,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_36/iter_0/rank_0,PushPop,5888,65564,1,5888.0,5888.0,5888,5888,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_36/iter_0/rank_1,PushPop,5760,70048,1,5760.0,5760.0,5760,5760,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_47/iter_0/rank_0,PushPop,5760,72351,1,5760.0,5760.0,5760,5760,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_47/iter_0/rank_1,PushPop,5728,75694,1,5728.0,5728.0,5728,5728,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_12/iter_0/rank_1,PushPop,5696,59946,1,5696.0,5696.0,5696,5696,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_24/iter_0/rank_0,PushPop,5696,66193,1,5696.0,5696.0,5696,5696,0.0,1,1.0,2.0,0.0
:flashvep_phase1b/router_projection/layer_0/iter_0/rank_0,PushPop,5664,230515,1,5664.0,5664.0,5664,5664,0.0,1,1.0,2.0,0.0
