scope,layer,placement,fit_profile,eval_profile,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,41,P_joint_0.25,all,text,joint_surrogate_lambda_0.25,15930,127440,2.837727558066541,3.0,4.0,0.17972379158819837,0.6595731324544883,52553,31860.0,0.6422681391468396,1.6494978028876335,0,29275.0
layer,41,P_joint_0.5,all,all,joint_surrogate_lambda_0.5,31859,254872,3.593270347468533,4.0,4.0,0.6223045293323708,0.9709972064408802,63807,63718.0,0.0011714504724263286,1.001396779559936,1,82619.0
layer,41,P_joint_0.5,all,vision,joint_surrogate_lambda_0.5,15929,127432,3.5468014313516227,4.0,4.0,0.5834013434616109,0.9634628664699605,34101,31858.0,0.05361882000856956,1.0704061774122668,1,40568.0
layer,41,P_joint_0.5,all,text,joint_surrogate_lambda_0.5,15930,127440,3.6397363465160075,4.0,4.0,0.6612052730696798,0.9785310734463277,34145,31860.0,0.051311312785722284,1.0717200251098555,3,42051.0
layer,41,P_joint_0.75,all,all,joint_surrogate_lambda_0.75,31859,254872,3.602749615493267,4.0,4.0,0.6288332967136445,0.9739477070843404,63786,63718.0,0.0010902636261626798,1.0010672023604006,2,82921.0
layer,41,P_joint_0.75,all,vision,joint_surrogate_lambda_0.75,15929,127432,3.5577249042626655,4.0,4.0,0.5905581015757424,0.9672295812668718,34506,31858.0,0.05931805554962285,1.0831188398518425,1,40742.0
layer,41,P_joint_0.75,all,text,joint_surrogate_lambda_0.75,15930,127440,3.647771500313873,4.0,4.0,0.6671060891399875,0.9806654111738857,34145,31860.0,0.058174942503319164,1.0717200251098555,3,42179.0
layer,41,P_joint_1,all,all,joint_surrogate_lambda_1,31859,254872,3.643585799930946,4.0,4.0,0.6617282400577544,0.9818575598731912,63725,63718.0,8.808321165386409e-05,1.0001098590665118,0,84222.0
layer,41,P_joint_1,all,vision,joint_surrogate_lambda_1,15929,127432,3.6506372025864775,4.0,4.0,0.671040241069747,0.9795969615167305,35999,31858.0,0.08554585052470834,1.1299830497834138,1,42222.0
layer,41,P_joint_1,all,text,joint_surrogate_lambda_1,15930,127440,3.6365348399246704,4.0,4.0,0.6524168236032643,0.9841180163214062,34580,31860.0,0.08541493723611045,1.0853735091023227,2,42000.0
layer,41,P_V_load,vision,all,modality_greedy_load+swap,31859,254872,3.6811262123732695,4.0,4.0,0.6917982359772749,0.9893279763959949,67218,63718.0,0.050051000526584365,1.0549295332559088,1,85418.0
layer,41,P_V_load,vision,vision,modality_greedy_load+swap,15929,127432,3.675497520246092,4.0,4.0,0.6876765647561052,0.9878209554899868,31860,31858.0,4.963082522707608e-05,1.0000627785799485,2,42618.0
layer,41,P_V_load,vision,text,modality_greedy_load+swap,15930,127440,3.686754551161331,4.0,4.0,0.6959196484620214,0.9908349026993095,35362,31860.0,0.10011030952547266,1.1099183929692404,1,42800.0
layer,41,P_T_load,text,all,modality_greedy_load+swap,31859,254872,3.687498038230955,4.0,4.0,0.697918955397219,0.9895790828337362,66637,63718.0,0.03870125625671479,1.045811230735428,3,85621.0
