task,sample_count,regime,decoder_control,block_length,mini_batch_size,generation,threshold,threshold_requested,threshold_effective,target_total_length,repeat,quality_correct,quality_total,accuracy,nfe,bct_s,run_dir
gsm8k,32,replicate,serving_native,64,16,128,0.9,0.9,0.9,256,7,14,32,0.4375,137,13.153287172317505,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m16_g128_t0.9_L256_r7
gsm8k,32,replicate,serving_native,64,32,128,0.9,0.9,0.9,256,6,11,32,0.34375,106,9.475106477737427,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m32_g128_t0.9_L256_r6
gsm8k,32,replicate,serving_native,64,32,128,0.9,0.9,0.9,256,7,11,32,0.34375,106,9.514351844787598,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B64_m32_g128_t0.9_L256_r7
gsm8k,32,replicate,serving_native,8,32,128,0.9,0.9,0.9,256,6,13,32,0.40625,134,13.343119144439697,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B8_m32_g128_t0.9_L256_r6
gsm8k,32,replicate,serving_native,8,32,128,0.9,0.9,0.9,256,7,13,32,0.40625,134,12.177014589309692,poc_ep_dynamic_block/results/clean/replicate_gsm8k_n32_B8_m32_g128_t0.9_L256_r7
humaneval,32,replicate,serving_native,128,8,128,0.9,0.9,0.9,384,6,18,32,0.5625,252,23.338184356689453,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B128_m8_g128_t0.9_L384_r6
humaneval,32,replicate,serving_native,128,8,128,0.9,0.9,0.9,384,7,18,32,0.5625,252,21.195094108581543,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B128_m8_g128_t0.9_L384_r7
humaneval,32,replicate,serving_native,16,16,128,0.9,0.9,0.9,384,6,17,32,0.53125,189,16.384523630142212,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B16_m16_g128_t0.9_L384_r6
humaneval,32,replicate,serving_native,16,16,128,0.9,0.9,0.9,384,7,17,32,0.53125,189,15.669158220291138,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B16_m16_g128_t0.9_L384_r7
humaneval,32,replicate,serving_native,32,16,128,0.9,0.9,0.9,384,6,17,32,0.53125,200,18.890134811401367,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B32_m16_g128_t0.9_L384_r6
humaneval,32,replicate,serving_native,32,16,128,0.9,0.9,0.9,384,7,17,32,0.53125,200,17.755085706710815,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B32_m16_g128_t0.9_L384_r7
humaneval,32,replicate,serving_native,64,16,128,0.9,0.9,0.9,384,6,17,32,0.53125,166,14.749307632446289,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B64_m16_g128_t0.9_L384_r6
humaneval,32,replicate,serving_native,64,16,128,0.9,0.9,0.9,384,7,17,32,0.53125,166,14.04149317741394,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B64_m16_g128_t0.9_L384_r7
humaneval,32,replicate,serving_native,8,16,128,0.9,0.9,0.9,384,6,18,32,0.5625,270,22.03603720664978,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B8_m16_g128_t0.9_L384_r6
humaneval,32,replicate,serving_native,8,16,128,0.9,0.9,0.9,384,7,18,32,0.5625,270,24.294201374053955,poc_ep_dynamic_block/results/clean/replicate_humaneval_n32_B8_m16_g128_t0.9_L384_r7
